Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F167049,Madhya Pradesh,Ujjain,Khachraud,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104715,Maharashtra,Amravati,Amravati,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103824,Maharashtra,Thane,Thane,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104833,Pondicherry,Pondicherry,Pondicherry,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104270,Madhya Pradesh,Dhar,Dhamnod,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F166126,Maharashtra,Yavatmal,Yavatmal,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104805,Tamil Nadu,Coimbatore,Tirupur,  1 ,  -   ,  -   ,PHYSICAL
Apr-18,F104394,Madhya Pradesh,Ujjain,Ujjain,  1 ,  749 ,  -   ,PHYSICAL
Apr-18,F104500,Madhya Pradesh,Morena,Sabalgarh,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104598,Madhya Pradesh,Mandsaur,Mandsaur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F167034,Madhya Pradesh,Jhabua,Jhabua,  1 ,"  7,626 ",  -   ,PHYSICAL
Apr-18,F103581,Kerala,Malappuram,Tirurangadi,  1 ,  -   ,  -   ,PHYSICAL
Apr-18,F104090,Tamil Nadu,Salem,Salem,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103986,Madhya Pradesh,Dewas,Bagli,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104581,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F166812,Tamil Nadu,Kanchipuram,Tambaram,  3 ,"  35,100 ",  -   ,PHYSICAL
Apr-18,F166194,Madhya Pradesh,Hoshangabad,Itarsi,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104488,Madhya Pradesh,Mandsaur,Mandsaur,  1 ,"  2,889 ",  -   ,PHYSICAL
Apr-18,F104856,Tamil Nadu,Coimbatore,Coimbatore North,  13 ,"  88,187 ",  400 ,PHYSICAL
Apr-18,F104807,Kerala,Malappuram,Ernad,  6 ,"  42,171 ","  1,186 ",PHYSICAL
Apr-18,F104069,Kerala,Kannur,Taliparamba,  3 ,"  3,067 ","  9,673 ",PHYSICAL
Apr-18,F103690,Kerala,Kasargod,Hosdurg,  2 ,"  21,967 ","  2,215 ",PHYSICAL
Apr-18,F104419,Tamil Nadu,Theni,Uthamapalayam,  2 ,"  2,666 ",  -   ,PHYSICAL
Apr-18,F104114,Andhra Pradesh,Krishna,Vijayawada (Urban),  1 ,"  10,032 ",  -   ,PHYSICAL
Apr-18,F103435,Kerala,Kozhikode,Kozhikode,  3 ,"  26,188 ","  15,757 ",PHYSICAL
Apr-18,F104583,Tamil Nadu,Coimbatore,Coimbatore North,  12 ,"  164,555 ","  1,200 ",PHYSICAL
Apr-18,F103649,Telangana,Karim Nagar,Arepalli,  4 ,"  10,797 ","  1,775 ",PHYSICAL
Apr-18,F103470,Andhra Pradesh,Ananthapur,Anantapur,  6 ,"  40,064 ","  4,174 ",PHYSICAL
Apr-18,F104633,Kerala,Thrissur,Kodungallur,  2 ,"  20,811 ",  -   ,PHYSICAL
Apr-18,F104428,Telangana,Khammam,Paloncha,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104607,Andhra Pradesh,Guntur,Chilakaluripet,  -   ,  -   ,"  1,181 ",PHYSICAL
