Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F103624,Karnataka,Mysore,Mysore,  17 ,"  1,667,149 ","  2,992 ",DIGITAL
Apr-18,F103720,Karnataka,Hassan,Alur,  22 ,"  194,141 ",  188 ,DIGITAL
Apr-18,F104241,Tamil Nadu,Thanjavur,Kumbakonam,  1 ,"  35,849 ",  71 ,DIGITAL
Apr-18,F104035,Telangana,Warangal,Maripeda,  5 ,"  30,956 ",  5 ,DIGITAL
Apr-18,F104041,Andhra Pradesh,Nellore,Tada,  31 ,"  10,928,505 ","  23,848 ",DIGITAL
Apr-18,F103425,Karnataka,Chitradurga,Chitradurga,  15 ,"  462,488 ",  354 ,DIGITAL
Apr-18,F161021,Telangana,Medak,Medak,  2 ,"  1,654 ",  -   ,DIGITAL
Apr-18,F104339,Telangana,Mahabub Nagar,Mahbubnagar,  10 ,"  76,150 ",  11 ,DIGITAL
Apr-18,F103968,Telangana,Nalgonda,Nalgonda,  25 ,"  1,373,825 ","  2,727 ",DIGITAL
Apr-18,F104717,Kerala,Malappuram,Ernad,  14 ,"  4,118,748 ","  8,375 ",DIGITAL
Apr-18,F103886,Andhra Pradesh,Chittoor,Kanipakam,  18 ,"  578,043 ",  695 ,DIGITAL
Apr-18,F104481,Karnataka,Mysore,Periyapatna,  13 ,"  105,596 ",  -   ,DIGITAL
Apr-18,F103924,Telangana,Nizamabad,Banswada,  14 ,"  207,319 ",  165 ,DIGITAL
Apr-18,F104561,Karnataka,Chikkaballapur,Gauribidanur,  8 ,"  31,409 ",  -   ,DIGITAL
Apr-18,F103339,Andhra Pradesh,Ananthapur,Dharmavaram,  38 ,"  795,711 ",  297 ,DIGITAL
Apr-18,F103647,Andhra Pradesh,East Godavari,Kakinada (Urban),  8 ,"  354,438 ",  672 ,DIGITAL
Apr-18,F104746,Karnataka,Chikkaballapur,Sidlghatta,  23 ,"  506,104 ",  237 ,DIGITAL
Apr-18,F104128,Telangana,Mahabub Nagar,Baswaipalli,  19 ,"  204,430 ",  137 ,DIGITAL
Apr-18,F103892,Telangana,Warangal,Narsampet,  47 ,"  512,011 ",  144 ,DIGITAL
Apr-18,F103231,Karnataka,Tumkur,Chikkanayakanahlli,  68 ,"  841,395 ",  228 ,DIGITAL
Apr-18,F104291,Telangana,Mahabub Nagar,Anugonda,  11 ,"  572,613 ",  320 ,DIGITAL
Apr-18,F103377,Karnataka,Kolar,Bangarapet,  78 ,"  1,671,488 ",  803 ,DIGITAL
Apr-18,F103512,Karnataka,Bijapur(KAR),Bijapur,  81 ,"  1,010,228 ",  332 ,DIGITAL
Apr-18,F104109,Andhra Pradesh,Nellore,Venkatachalam,  13 ,"  1,132,400 ","  2,126 ",DIGITAL
Apr-18,F103791,Karnataka,Ramanagar,Magadi,  64 ,"  1,204,865 ",  698 ,DIGITAL
