Month,FID,RMF PNH ID,RMF Name,State,District,Town, RF'S  , Total value , Earned Margin ,, RF'S  , Total value , Earned Margin ,,RF's,Earned Margin
Apr-18,F104138,37794291,Harsh Electronics,Madhya Pradesh,Dhar,Sardarpur,1,587,  -   ,,17,264373,375,,  -   ,  -   
Apr-18,F167000,39909351,Pooja Telecom,Madhya Pradesh,Mandsaur,Garoth,1,10848,  -   ,,6,1997877,4278,,  -   ,  -   
Apr-18,F104658,33817833,Saikrupa Mobile Shopee (RMF),Maharashtra,Nashik,Sinnar,  -   ,  -   ,  -   ,,10,50930,3,,  -   ,  -   
Apr-18,F164619,31644485,Manjunatha Enterprises,Karnataka,Bangalore,Bangalore North,3,31516,  -   ,,6,15919679,32739,,  -   ,  -   
Apr-18,F153702,33577672,Vivek Kirana & General Stores,Madhya Pradesh,Guna,Raghogarh,1,10093,  -   ,,3,1872372,4035,,  -   ,  -   
Apr-18,F104788,33656716,Ansari Trading ,Maharashtra,Nagpur,Kamptee,  -   ,  -   ,  -   ,,19,168366,4,,  -   ,  -   
Apr-18,F103949,36981477,Siddhnath Electronics,Maharashtra,Sangli,Atpadi,  -   ,  -   ,  -   ,,2,1451,1,,  -   ,  -   
Apr-18,F104461,31916347,Satguru Enterprises,Madhya Pradesh,Barwani,Sendhwa,  -   ,  -   ,  -   ,,6,652194,1218,,  -   ,  -   
Apr-18,F104778,38992644,Rohit Agency ,Maharashtra,Gondia,Sadak Arjuni,  -   ,  -   ,  -   ,,12,70448,19,,  -   ,  -   
Apr-18,F104245,33984163,Nirmal Mobile,Madhya Pradesh,Dhar,Dharampuri,2,10934,  -   ,,2,2747696,5788,,  -   ,  -   
Apr-18,F101008,34141762,Mansuri Mobiles,Gujarat,Dahod,Devgadbaria,  -   ,  -   ,  -   ,,8,122853,20,,  -   ,  -   
Apr-18,F104646,38184888,Pedhiwal Sales (RMF),Maharashtra,Amravati,Paratwada,  -   ,  -   ,  -   ,,25,119457,166,,  -   ,  -   
Apr-18,F103961,38337386,Arpit Patel,Madhya Pradesh,Rewa,Huzur,  -   ,  -   ,  -   ,,3,31280,  -   ,,  -   ,  -   
Apr-18,F104799,34851555,Parag Computer & Graphics,Madhya Pradesh,Shivpuri,Shivpuri,  -   ,  -   ,  -   ,,3,184886,326,,  -   ,  -   
Apr-18,F104770,34223857,Balaji Cyber Cafe ,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,,2,190020,380,,  -   ,  -   
Apr-18,F104729,34388184,New Shop nook,Maharashtra,Nagpur,Ramtek,  -   ,  -   ,  -   ,,14,105954,2,,  -   ,  -   
Apr-18,F104354,36956199,Baba Electricals and Music Center,Madhya Pradesh,Gwalior,Gwalior,  -   ,  -   ,  -   ,,10,650440,1297,,  -   ,  -   
Apr-18,F103876,36849267,J K Enterprises,Madhya Pradesh,Hoshangabad,Archnagaon,3,33610,  -   ,,19,1590023,3929,,  -   ,  -   
Apr-18,F164316,39709983,Professional Associates & Consultant,Madhya Pradesh,Indore,Indore,  -   ,  -   ,  -   ,,1,202474,405,,  -   ,  -   
Apr-18,F166330,34636709,Kushwaha std,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,,1,129402,245,,  -   ,  -   
Apr-18,F103787,34642599,Om Ganesh Communication,Maharashtra,Sangli,Walva,  -   ,  -   ,  -   ,,7,577462,997,,  -   ,  -   
